time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.11284133102e-08,1.47245974581e-07,10.0069687491,0.000134335604276,6.28309130758,0.0,7.84280420259e-06,1.34879908201e-05,0.23227255453,0.00637811009024,-0.00490036284523,0.0,477.4161891917314,477.04224808266326,476.58235974249163,477.0694795436373
0.12000000000000001,3.75705072769e-06,5.48510132745e-06,10.0257942011,0.000329888576696,6.28234479086,0.0,0.000164445652579,0.000197591063775,0.395199592429,-0.00385098193834,-0.0351493032468,0.0,458.59319687079335,456.18459790840535,456.0304139257286,455.212689072032
0.18,3.77780822606e-05,2.31263644571e-05,10.0514081616,0.000283929111453,6.27995257127,0.0,0.00118476765286,0.000377665456263,0.458574977408,0.00478318280121,-0.0515512585048,0.0,426.081031935282,424.6757303403463,424.8478086714805,425.5873646734304
0.23999999999999996,0.000182419418506,5.22714135575e-05,10.0805716145,0.000537216083059,6.27660689968,0.0,0.00394180872496,0.00061960497861,0.513515293392,0.00307356791731,-0.065890580159,0.0,423.577368063093,422.3402474663177,422.306012553841,422.1584661373383
0.3,0.00059331417944,0.000103051328106,10.1175659027,0.000700065582909,6.27237727747,0.0,0.0102329938106,0.00109344389937,0.719516517875,0.0019854197456,-0.0818047360617,0.0,469.85934232441355,468.6205056921519,470.0860999595134,470.0017295067273
0.36000000000000004,0.00145075136028,0.00018365494351,10.1638680235,0.000798626203587,6.2676135454,0.0,0.0188433924007,0.00160446921676,0.823811430929,0.000948172891706,-0.0749693053447,0.0,439.4666394391074,440.02762648187087,437.9441827660741,437.8578761503269
0.4200000000000001,0.00292821324958,0.000297088422408,10.2168264224,0.000456493303402,6.26253968605,0.0,0.0308845242576,0.00216722028443,0.941370279246,-0.0243270524849,-0.12278152675,0.0,445.38770033420917,441.4533234304222,443.9632096121236,441.88486998643447
0.48000000000000015,0.00520802884088,0.000430645932678,10.2750367399,6.28196227694,6.2547886486,0.0,0.0458271442986,0.00213564917203,0.998907777511,-0.03656976687,-0.146764984735,0.0,425.5993894564116,423.52527956959364,424.3294947457374,423.2770594573122
0.5400000000000001,0.00865391312413,0.00052137640152,10.3404975439,6.27925221059,6.24607358265,0.0,0.0700327134862,0.000621864514316,1.18291384362,-0.0740809890582,-0.142386587601,0.0,463.69059107377484,464.0156079143496,465.450531395275,462.50439904855983
0.6000000000000002,0.0135010322422,0.000479502368191,10.4104790187,6.27491447143,6.23745962805,0.0,0.0922449843316,-0.00237889654996,1.14980479734,-0.0689465818038,-0.1460324141,0.0,393.3395133254233,392.9795591580252,394.6517046905283,395.12051379800675
0.6600000000000003,0.0202909500873,9.72782257903e-05,10.4882989725,6.2705273441,6.22857455007,0.0,0.135222715391,-0.0109132766526,1.44380546348,-0.0831356940163,-0.152536276354,0.0,496.60674652684196,496.11139913422744,496.68169649834493,495.63646280262446
0.7200000000000003,0.0293994101691,-0.000796673643239,10.5749233328,6.26611717234,6.21919852195,0.0,0.169198475368,-0.0192898296626,1.44361780843,-0.0590720463949,-0.165015757792,0.0,406.64285821549043,405.4976633403265,405.5989916594622,407.74919391327865
0.7800000000000004,0.0409231021105,-0.00232294135524,10.6646932711,6.26259267402,6.20911713437,0.0,0.215940032631,-0.0319450071124,1.54849571791,-0.0580891570239,-0.174831557166,0.0,441.7980889975428,440.96073582817246,440.7119780560648,440.79076169881824
0.8400000000000004,0.055595049439,-0.00471843620303,10.7624857024,6.25909065497,6.19930858204,0.0,0.274227561249,-0.0482864697378,1.71091878409,-0.0589282679752,-0.147167508293,0.0,458.78213823495037,460.9480298709363,458.9238173892604,458.85496102637217
0.9000000000000005,0.0738873533516,-0.0081467308732,10.8689362523,6.25548940223,6.1906276949,0.0,0.336423084595,-0.0663606052629,1.83713692449,-0.0622998354829,-0.140127929947,0.0,449.49533845687307,450.04609418951566,448.2783330947734,448.0017793541216
0.9600000000000005,0.0959520464631,-0.0126937634418,10.9814207179,6.25185403041,6.18222195749,0.0,0.399877636981,-0.0855632232361,1.91211949851,-0.0573727039211,-0.140031163764,0.0,433.55911008645194,433.5484605677218,432.9808162332782,433.39239242727905
1.0200000000000005,0.122805827578,-0.0187162262618,11.1063155236,6.24907656163,6.17445457473,0.0,0.496282069291,-0.115580231422,2.25028496091,-0.030259853817,-0.113980630458,0.0,510.9282869140999,512.7686994954719,510.7890536852992,512.7176723123521
1.0800000000000005,0.15534589877,-0.0265135148119,11.2487037849,6.24731497395,6.16721004534,0.0,0.589185942973,-0.144528708142,2.49535514044,-0.027618119766,-0.13980600515,0.0,487.5845368796912,485.6391595320452,487.62847893056363,487.8255964706047
1.1400000000000006,0.192841835438,-0.0358434485651,11.3989520142,6.24577204919,6.15877439892,0.0,0.661420640728,-0.166607295876,2.51275935179,-0.0221588741342,-0.14221687285,0.0,418.0091625412396,417.77925354015656,417.74818903561516,418.22377335876774
1.2000000000000006,0.235621811353,-0.0467615757039,11.5565161773,6.24443571622,6.14984005315,0.0,0.765547954807,-0.197465516382,2.73868187534,-0.022499846287,-0.16765483652,0.0,484.2390005717997,482.30223401836906,483.4182259319895,483.3925535268556
1.2600000000000007,0.283608057905,-0.0592003626318,11.7183106314,6.2428900795,6.13982549492,0.0,0.834758909944,-0.217271501061,2.65452763869,-0.0332428452271,-0.16546042278,0.0,384.9463908657492,385.12264988966245,384.05312300678906,383.03252244737314
